idcompany_gstinfo,cmp_id,cmp_name,gst_num,gst_file,address,city,state,state_name,country,pincode,telephone,cst_num,cst_file,vat_num,vat_file,ed_num,ed_file,shippingfirstname,shippinglastname,sap_row_num,gst_type,tan_num
1137,127,GAIL India Ltd.,29AAACG1209J1ZS,,"Co-rporate Miller, 2nd Floor, No 332/1, Thimmaiah Road, Vasant Nagar, Thimmaiah Road",Bengaluru,501,Karnataka,IN,560052,,,,23265002549,,,,,,"0,1",,
1138,477,Sunrise Biscuit Co. Pvt. Ltd.,No GST Number,,"Off-Pub- Boragaon, PO-Gotanagar",Guwahati,488,Assam,IN,781033,8011050813,,,,,,,Pradip,Choudhury,"0,1",,
1139,180,Ingersoll Rand (India) Ltd.,24AAACI3099Q1Z2,,"21-30, GIDC Estate Naroda",Ahmedabad,496,Gujarat,IN,382330,9825091519,,,,,,,,,"0,1",,
1141,491,Mylan ,No GST Number,,"Jai Pharma Limited Brady House,2nd Floor, 12/14 Veer Nariman Road,fort",Mumbai,505,Maharashtra,IN,400001,2230289655,,,,,,,Henry ,Barretto,"0,1",,
1142,488,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),27AAACG4901D1Z4,,"Ratnagiri Wind Power Project Pvt Ltd, Survey No 140/4 & 140/5 Shivdarshan Colony Pune Bangalore Road Land Mark : Near D Mart City: Malakapur Taluka Karad",Satara,505,Maharashtra,IN,415110,9822009042,,,,,,,,,"0,1",,
1143,490,CG Power and Industrial Solutions Ltd.,No GST Number,,Power Transformers Division (T1) Kanjur Marg (East),Mumbai ,505,Maharashtra,IN,400042,8422062058,,,,,,,,,"0,1",,
1145,549,Nirman Enconprojects Pvt. Ltd.,07AADCN1519R1Z3,,"78-A, IInd Floor, Zamroodpur, GK-1",New Delhi,494,Delhi,IN,110048,29249700292,,,,,,,,,"0,1",,
1146,518,Sharda Motor Industries Ltd.,No GST Number,,"D-188, Okhla Industrial Area, Phase 1",New Delhi,494,Delhi,IN,110020,7990278149,,,,,,,,,"0,1",,
1147,518,Sharda Motor Industries Ltd.,No GST Number,,"No.51/1,52/2,53/2,54A,54B,54C & 54D BEHIND CEAT, Satpur, Nashik Ind Estate",Nashik,505,Maharashtra,IN,422007,7990278149,,,,,,,,,"2,3",,
1148,505,Shivam Engineering,24ACIFS6831K1ZS,,"Survey No.162, Plot No. 8/B,,  Near Gulab Oil, S.I.D.C. Road,  Veraval (Shapar)",Rajkot,496,Gujarat,IN,360024,9825860514,,,,,,,,,"0,1",,
1149,461,MNS Enterprises,27AKKPS7110H1ZZ,,"GB-28, High Street Corporate Center,  Thane Bhiwandi Road,  Thane (W)",Thane ,505,Maharashtra,IN,400607,9833300328,,,,,,,,,"0,1",,
1150,549,Nirman Enconprojects Pvt. Ltd.,33AADCN1519R1Z8,,"#6, Thiruvaranganeri vanigar south street, Eruvadi,  Taluk",Nunguneri,515,Tamil Nadu,IN,627501,9716533696,,,,,,,,,"2,3",,
1151,557,GE Global Research,No GST Number,,"M&M, GRC Bangalore John F Welch Technology Centre 122, EPIP, Phase 2 Whitefield Road",Bangalore ,501,Karnataka,IN,560066,9740111887,,,,,,,,,"0,1",,
1153,523,Bennett University,09AAAJB1388A1ZN,,"Plot No 8-11, TechZone II",Greater Noida,517,Uttar Pradesh,IN,201310,9818341516,,,,,,,,,"0,1",,
1155,475,A. H. Engineers,04AFXPR0804H1ZB,,"Plot no. 699, Industrial Area, phase -1 Chandigarh",Chandigarh,490,Chandigarh,IN,160002,9815312722,,,,,,,,,"0,1",,
1156,537,Entrepreneurship Development and Resources Support Trust,27AAATE2710R1ZJ,,"Row House No: 29, Krishna Villa, Sector: 2A, Opposite Sector 2  Municipal School, Koparkhairane",Navi Mumbai,505,Maharashtra,IN,400709,9769209051,,,,,,,,,"0,1",,
1157,564,Tata Steel Ltd.,20AAACT2803M2ZO,,Research and Development Division | Burma Mines Gate,Jamshedpur ,500,Jharkhand,IN,831007,917033095011,,,,,,,,,"0,1",,
1158,565,Supremex Equipments,No GST Number,,"D2A, Ghatkopar Iindustrial Estate, L.B.S. Marg, Ghatkopar (W)",Mumbai,505,Maharashtra,IN,400086,022 25007406,,,,,,,,,"0,1",,
1159,517,Myntra Jabong India Pvt. Ltd.,No GST Number,,Plot No. 82A Sector 18,Gurgaon,497,Haryana,IN,122015,8130692966,,,,,,,,,"0,1",,
1161,483,P2 Power Solutions,No GST Number,," A-95, Sector-80",Noida,517,Uttar Pradesh,IN,201305,9999095697,,,,,,,,,"0,1",,
1162,510,Sanmarg Projects Pvt. Ltd.,No GST Number,,"ATS Tower, 5th Floor, Plot No16, Sector 135",Noida,517,Uttar Pradesh,IN,201305,"7838376239,9",,,,,,,,,"0,1",,
1163,504,Magicbricks Realty Services Ltd.,No GST Number,,"Hayat Chambers, 2nd  floor, Primrose Road , Off M G Road",Bangalore,501,Karnataka,IN,560025,8588823470,,,,,,,,,"0,1",,
1165,520,THDC India Ltd.,No GST Number,,Bhagirathi Puram Tehri. Tehri ,Garhwal ,518,Uttarakhand,IN,249001,01376-- 2364,,,,,,,,,"0,1",,
1167,530,Bharti Airtel Ltd.,06AAACB2894G1ZR,,"Airtel Center, Plot No 16 Udyog Vihar – Phase IV",Gurgaon,497,Haryana,IN,122015,9818224701,,,,,,,,,"0,1",,
1168,516,Britannia Industries Ltd.,No GST Number,,"Prestige Shantiniketan, The Business Precint, Tower C,  16th & 17th Floor, Whitefield Main Road, Mahadevpura Post",Bangalore,501,Karnataka,IN,560048, 080-3078734,,,,,,,,,"0,1",,
1169,468,Walmart India Pvt. Ltd.,No GST Number,,"4th Floor, Orchid center, Sec-53, Golf course Road, Opposite Sun City",Gurgaon,497,Haryana,IN,122002,7042000657,,,,,,,,,"0,1",,
1170,480,Midland Credit Management India Pvt. Ltd.,06AAECM3260F1ZS,,28-P Sector - 44,Gurgaon ,497,Haryana,IN,122002,0124-4530300,,,,,,,,,"0,1",,
1173,571,Mumbai Port Trust,No GST Number,,"Bhandar Bhavan, Muzawar Pakhadi Road, Mazagaon",Mumbai,505,Maharashtra,IN,400010,022-66565656,,,,,,,Subramanian,R.V,"0,1",,
1174,573,Tech Engineers,27ADIPS2853A1ZM,,"106, Orchid Plaza, Outside New Platform No. 1, Borivali West",Mumbai ,505,Maharashtra,IN,400092,9975682857,,,,,,,,,"0,1",,
1175,574,Victora Tool Engineers Pvt. Ltd.,06AACCV2097H1Z8,," Sector-58, plot no-290",Faridabad,497,Haryana,IN,121004,7290035520,,,,,,,,,"0,1",,
